scenario,sequence,age,height,weight,sex,ethnicity
Scenario0,1,Adult,0.08694506,0.4827021,Female,African
Scenario0,10,Preteen,0.5856541,0.002064228,Male,LatinAmerican
Scenario0,100,Adult,0.5358101,0.2695106,Male,Asian
Scenario0,1000,Adult,0.9420515,0.1774048,Male,Caucasian
Scenario0,1001,Adult,0.9059796,0.9636009,Female,Caucasian
Scenario0,1002,Adult,0.3789066,0.0005068779,Female,Asian
Scenario0,1003,Adult,0.3917115,0.8609842,Male,Caucasian
Scenario0,1004,Preteen,0.5702831,0.05964541,Male,Asian
Scenario0,1005,Adult,0.8091642,0.07026064,Male,African
Scenario0,1006,Adult,0.9115384,0.803005,Male,African
Scenario0,1007,Preteen,0.5702831,0.05964541,Male,Asian
Scenario0,1008,Adult,0.3203709,0.07127213,Male,LatinAmerican
Scenario0,1009,Preteen,0.3815027,0.2688413,Female,African
Scenario0,101,Adult,0.7714093,0.8867875,Female,African
Scenario0,1010,Adult,0.1926171,0.2598609,Male,Asian
Scenario0,1011,Adult,0.3125875,0.4966625,Female,Caucasian
Scenario0,1012,Preteen,0.4943219,0.2570217,Female,African
Scenario0,1013,Adult,0.1471999,0.917922,Male,LatinAmerican
Scenario0,1014,Toddler,0.7682532,0.5374144,Male,Asian
Scenario0,1015,Adult,0.3888619,0.5448266,Male,African
Scenario0,1016,Adult,0.1471999,0.917922,Male,LatinAmerican
Scenario0,1017,Adult,0.1959802,0.709742,Female,Asian
Scenario0,1018,Adult,0.2422961,0.8480299,Female,Asian
Scenario0,1019,Adult,0.7240098,0.2782294,Female,Asian
Scenario0,102,Preteen,0.9610816,0.06036282,Male,African
Scenario0,1020,Adult,0.6082876,0.5183139,Male,Asian
Scenario0,1021,Adult,0.8306621,0.4503958,Male,LatinAmerican
Scenario0,1022,Preteen,0.3568563,0.7006017,Male,African
Scenario0,1023,Adult,0.5612754,0.5233124,Female,Caucasian
Scenario0,1024,Adult,0.3203709,0.07127213,Male,LatinAmerican
Scenario0,1025,Adult,0.6082876,0.5183139,Male,Asian
Scenario0,1026,Adult,0.3125875,0.4966625,Female,Caucasian
Scenario0,1027,Adult,0.1471999,0.917922,Male,LatinAmerican
Scenario0,1028,Child2,0.2290272,0.06245399,Female,Caucasian
Scenario0,1029,Adult,0.3125875,0.4966625,Female,Caucasian
Scenario0,103,Adult,0.6944723,0.2496492,Male,Asian
Scenario0,1030,Adult,0.1500311,0.206688,Male,Asian
Scenario0,1031,Preteen,0.3568563,0.7006017,Male,African
Scenario0,1032,Adult,0.8285079,0.3317353,Female,African
Scenario0,1033,Preteen,0.3202995,0.5829996,Male,African
Scenario0,1034,Adult,0.1959802,0.709742,Female,Asian
Scenario0,1035,Preteen,0.5702831,0.05964541,Male,Asian
Scenario0,1036,Adult,0.2422961,0.8480299,Female,Asian
Scenario0,1037,Child2,0.2052161,0.674927,Female,Caucasian
Scenario0,1038,Adult,0.6525868,0.1505032,Female,LatinAmerican
Scenario0,1039,Preteen,0.3568563,0.7006017,Male,African
Scenario0,104,Preteen,0.2734697,0.2118471,Male,Asian
Scenario0,1040,Adult,0.4733661,0.7375509,Female,African
Scenario0,1041,Child1,0.7584614,0.327252,Male,Caucasian
Scenario0,1042,Preteen,0.3907323,0.7934002,Male,Asian
Scenario0,1043,Adult,0.1471999,0.917922,Male,LatinAmerican
Scenario0,1044,Adult,0.7240098,0.2782294,Female,Asian
Scenario0,1045,Adult,0.1319526,0.9965993,Male,African
Scenario0,1046,Adult,0.2422961,0.8480299,Female,Asian
Scenario0,1047,Adult,0.7175683,0.8361927,Male,African
Scenario0,1048,Adult,0.5612754,0.5233124,Female,Caucasian
Scenario0,1049,Adult,0.1992807,0.5510746,Male,LatinAmerican
Scenario0,105,Adult,0.4827651,0.8576131,Female,Caucasian
Scenario0,1050,Adult,0.01808429,0.4261178,Female,LatinAmerican
Scenario0,1051,Adult,0.5720001,0.166883,Male,LatinAmerican
Scenario0,1052,Adult,0.8525412,0.08526874,Female,Asian
Scenario0,1053,Toddler,0.04135203,0.3364607,Female,LatinAmerican
Scenario0,1054,Adult,0.2757628,0.2682748,Male,Asian
Scenario0,1055,Adult,0.8525412,0.08526874,Female,Asian
Scenario0,1056,Adult,0.7529849,0.0306021,Male,LatinAmerican
Scenario0,1057,Adult,0.07937515,0.503509,Male,LatinAmerican
Scenario0,1058,Adult,0.2639917,0.03783798,Female,LatinAmerican
Scenario0,1059,Adult,0.1862819,0.9488615,Male,LatinAmerican
Scenario0,106,Adult,0.5566796,0.1498659,Male,African
Scenario0,1060,Adult,0.3246037,0.6416262,Female,LatinAmerican
Scenario0,1061,Child2,0.5914187,0.6486436,Female,Asian
Scenario0,1062,Adult,0.361656,0.7041154,Male,African
Scenario0,1063,Adult,0.9034153,0.7353204,Male,LatinAmerican
Scenario0,1064,Adult,0.3692485,0.5694325,Male,Asian
Scenario0,1065,Adult,0.8888307,0.8136883,Female,LatinAmerican
Scenario0,1066,Preteen,0.2715052,0.7028748,Male,Asian
Scenario0,1067,Preteen,0.2715052,0.7028748,Male,Asian
Scenario0,1068,Adult,0.4257824,0.9042664,Female,Caucasian
